"Balancing Authority","Local Time at End of Hour","UTC Time at End of Hour","Demand Forecast (MW)","Demand (MW)","Net Generation (MW)","Total Interchange (MW)","Sum(Valid DIBAs) (MW)","Demand (MW) (Imputed)","Net Generation (MW) (Imputed)","Total Interchange (MW) (Imputed)","Demand (MW) (Adjusted)","Net Generation (MW) (Adjusted)","Total Interchange (MW) (Adjusted)","Region"
PSCO,05/23/2025 6:00:00 AM,05/23/2025 12:00:00 PM,3998,4365,5044,679,679,,,,4365,5044,679,NW
PSCO,05/23/2025 7:00:00 AM,05/23/2025 1:00:00 PM,4157,4535,5127,592,592,,,,4535,5127,592,NW
PSCO,05/23/2025 8:00:00 AM,05/23/2025 2:00:00 PM,4231,4629,5074,445,445,,,,4629,5074,445,NW
PSCO,05/23/2025 9:00:00 AM,05/23/2025 3:00:00 PM,4262,4724,5187,463,463,,,,4724,5187,463,NW
PSCO,05/23/2025 10:00:00 AM,05/23/2025 4:00:00 PM,4178,4704,5218,514,514,,,,4704,5218,514,NW
PSCO,05/23/2025 11:00:00 AM,05/23/2025 5:00:00 PM,4266,4804,5301,497,497,,,,4804,5301,497,NW
PSCO,05/23/2025 12:00:00 PM,05/23/2025 6:00:00 PM,4361,5167,5673,506,506,,,,5167,5673,506,NW
PSCO,05/23/2025 1:00:00 PM,05/23/2025 7:00:00 PM,4532,5287,5717,430,430,,,,5287,5717,430,NW
PSCO,05/23/2025 2:00:00 PM,05/23/2025 8:00:00 PM,4704,5461,5739,278,278,,,,5461,5739,278,NW
PSCO,05/23/2025 3:00:00 PM,05/23/2025 9:00:00 PM,4935,5678,6060,382,382,,,,5678,6060,382,NW
PSCO,05/23/2025 4:00:00 PM,05/23/2025 10:00:00 PM,5090,5855,6384,529,529,,,,5855,6384,529,NW
PSCO,05/23/2025 5:00:00 PM,05/23/2025 11:00:00 PM,5395,6172,6554,382,382,,,,6172,6554,382,NW
PSCO,05/23/2025 6:00:00 PM,05/24/2025 12:00:00 AM,5521,6220,6626,406,406,,,,6220,6626,406,NW
PSCO,05/23/2025 7:00:00 PM,05/24/2025 1:00:00 AM,5636,6136,6380,244,244,,,,6136,6380,244,NW
PSCO,05/23/2025 8:00:00 PM,05/24/2025 2:00:00 AM,5536,5873,6472,599,599,,,,5873,6472,599,NW
PSCO,05/23/2025 9:00:00 PM,05/24/2025 3:00:00 AM,5358,5694,6528,834,834,,,,5694,6528,834,NW
PSCO,05/23/2025 10:00:00 PM,05/24/2025 4:00:00 AM,5164,5439,6321,882,882,,,,5439,6321,882,NW
PSCO,05/23/2025 11:00:00 PM,05/24/2025 5:00:00 AM,4825,5117,6040,923,923,,,,5117,6040,923,NW
PSCO,05/24/2025 12:00:00 AM,05/24/2025 6:00:00 AM,4468,4734,5718,984,984,,,,4734,5718,984,NW
PSCO,05/24/2025 1:00:00 AM,05/24/2025 7:00:00 AM,4126,4397,5353,956,956,,,,4397,5353,956,NW
PSCO,05/24/2025 2:00:00 AM,05/24/2025 8:00:00 AM,3920,3965,4578,613,613,,,,3965,4578,613,NW
PSCO,05/24/2025 3:00:00 AM,05/24/2025 9:00:00 AM,3799,3749,4402,653,653,,,,3749,4402,653,NW
PSCO,05/24/2025 4:00:00 AM,05/24/2025 10:00:00 AM,3691,3590,4232,642,642,,,,3590,4232,642,NW
PSCO,05/24/2025 5:00:00 AM,05/24/2025 11:00:00 AM,3661,3562,4231,669,669,,,,3562,4231,669,NW
PSCO,05/24/2025 6:00:00 AM,05/24/2025 12:00:00 PM,3721,3727,4253,526,526,,,,3727,4253,526,NW
PSCO,05/24/2025 7:00:00 AM,05/24/2025 1:00:00 PM,3606,3826,4250,424,424,,,,3826,4250,424,NW
PSCO,05/24/2025 8:00:00 AM,05/24/2025 2:00:00 PM,3631,3820,4081,261,261,,,,3820,4081,261,NW
PSCO,05/24/2025 9:00:00 AM,05/24/2025 3:00:00 PM,3675,3883,4363,480,480,,,,3883,4363,480,NW
PSCO,05/24/2025 10:00:00 AM,05/24/2025 4:00:00 PM,3706,4182,4770,588,588,,,,4182,4770,588,NW
PSCO,05/24/2025 11:00:00 AM,05/24/2025 5:00:00 PM,3670,4560,5308,748,748,,,,4560,5308,748,NW
PSCO,05/24/2025 12:00:00 PM,05/24/2025 6:00:00 PM,3811,4549,5165,616,616,,,,4549,5165,616,NW
PSCO,05/24/2025 1:00:00 PM,05/24/2025 7:00:00 PM,3864,4651,5236,585,585,,,,4651,5236,585,NW
PSCO,05/24/2025 2:00:00 PM,05/24/2025 8:00:00 PM,4034,4819,5490,671,671,,,,4819,5490,671,NW
PSCO,05/24/2025 3:00:00 PM,05/24/2025 9:00:00 PM,4156,4833,5417,584,584,,,,4833,5417,584,NW
PSCO,05/24/2025 4:00:00 PM,05/24/2025 10:00:00 PM,4275,4938,5603,665,665,,,,4938,5603,665,NW
PSCO,05/24/2025 5:00:00 PM,05/24/2025 11:00:00 PM,4325,5182,6009,827,827,,,,5182,6009,827,NW
PSCO,05/24/2025 6:00:00 PM,05/25/2025 12:00:00 AM,4227,5202,5830,628,628,,,,5202,5830,628,NW
PSCO,05/24/2025 7:00:00 PM,05/25/2025 1:00:00 AM,4532,5035,5836,801,801,,,,5035,5836,801,NW
PSCO,05/24/2025 8:00:00 PM,05/25/2025 2:00:00 AM,4551,4972,5634,662,662,,,,4972,5634,662,NW
PSCO,05/24/2025 9:00:00 PM,05/25/2025 3:00:00 AM,4629,4845,5598,753,753,,,,4845,5598,753,NW
PSCO,05/24/2025 10:00:00 PM,05/25/2025 4:00:00 AM,4544,4647,5413,766,766,,,,4647,5413,766,NW
PSCO,05/24/2025 11:00:00 PM,05/25/2025 5:00:00 AM,4337,4557,5235,678,678,,,,4557,5235,678,NW
PSCO,05/25/2025 12:00:00 AM,05/25/2025 6:00:00 AM,4087,4294,4912,618,618,,,,4294,4912,618,NW
PSCO,05/25/2025 1:00:00 AM,05/25/2025 7:00:00 AM,3979,4157,4680,523,523,,,,4157,4680,523,NW
PSCO,05/25/2025 2:00:00 AM,05/25/2025 8:00:00 AM,3820,3893,4414,521,521,,,,3893,4414,521,NW
PSCO,05/25/2025 3:00:00 AM,05/25/2025 9:00:00 AM,3730,3636,4189,553,553,,,,3636,4189,553,NW
PSCO,05/25/2025 4:00:00 AM,05/25/2025 10:00:00 AM,3664,3793,4374,581,581,,,,3793,4374,581,NW
PSCO,05/25/2025 5:00:00 AM,05/25/2025 11:00:00 AM,3636,3754,4410,656,656,,,,3754,4410,656,NW
PSCO,05/25/2025 6:00:00 AM,05/25/2025 12:00:00 PM,3651,3711,4325,614,614,,,,3711,4325,614,NW
PSCO,05/25/2025 7:00:00 AM,05/25/2025 1:00:00 PM,3471,3691,4199,508,508,,,,3691,4199,508,NW
PSCO,05/25/2025 8:00:00 AM,05/25/2025 2:00:00 PM,3490,3710,4051,341,341,,,,3710,4051,341,NW
PSCO,05/25/2025 9:00:00 AM,05/25/2025 3:00:00 PM,3556,3856,4132,276,276,,,,3856,4132,276,NW
PSCO,05/25/2025 10:00:00 AM,05/25/2025 4:00:00 PM,3718,4020,4238,218,218,,,,4020,4238,218,NW
PSCO,05/25/2025 11:00:00 AM,05/25/2025 5:00:00 PM,3730,4084,4208,124,124,,,,4084,4208,124,NW
PSCO,05/25/2025 12:00:00 PM,05/25/2025 6:00:00 PM,3681,4136,4432,296,296,,,,4136,4432,296,NW
PSCO,05/25/2025 1:00:00 PM,05/25/2025 7:00:00 PM,3743,4347,4635,288,288,,,,4347,4635,288,NW
PSCO,05/25/2025 2:00:00 PM,05/25/2025 8:00:00 PM,3766,4688,5002,314,314,,,,4688,5002,314,NW
PSCO,05/25/2025 3:00:00 PM,05/25/2025 9:00:00 PM,3823,4647,5039,392,392,,,,4647,5039,392,NW
PSCO,05/25/2025 4:00:00 PM,05/25/2025 10:00:00 PM,3959,4585,4909,324,324,,,,4585,4909,324,NW
PSCO,05/25/2025 5:00:00 PM,05/25/2025 11:00:00 PM,4177,4559,4958,399,399,,,,4559,4958,399,NW
PSCO,05/25/2025 6:00:00 PM,05/26/2025 12:00:00 AM,4382,4438,4882,444,444,,,,4438,4882,444,NW
PSCO,05/25/2025 7:00:00 PM,05/26/2025 1:00:00 AM,4390,4559,4974,415,415,,,,4559,4974,415,NW
PSCO,05/25/2025 8:00:00 PM,05/26/2025 2:00:00 AM,4513,4608,4982,374,374,,,,4608,4982,374,NW
PSCO,05/25/2025 9:00:00 PM,05/26/2025 3:00:00 AM,4569,4564,4950,386,386,,,,4564,4950,386,NW
PSCO,05/25/2025 10:00:00 PM,05/26/2025 4:00:00 AM,4462,4413,4787,374,374,,,,4413,4787,374,NW
PSCO,05/25/2025 11:00:00 PM,05/26/2025 5:00:00 AM,4237,4169,4695,526,526,,,,4169,4695,526,NW
PSCO,05/26/2025 12:00:00 AM,05/26/2025 6:00:00 AM,4017,4005,4505,500,500,,,,4005,4505,500,NW
PSCO,05/26/2025 1:00:00 AM,05/26/2025 7:00:00 AM,3934,3858,4277,419,419,,,,3858,4277,419,NW
PSCO,05/26/2025 2:00:00 AM,05/26/2025 8:00:00 AM,3782,3803,4083,280,280,,,,3803,4083,280,NW
PSCO,05/26/2025 3:00:00 AM,05/26/2025 9:00:00 AM,3700,3575,3915,340,340,,,,3575,3915,340,NW
PSCO,05/26/2025 4:00:00 AM,05/26/2025 10:00:00 AM,3655,3519,3900,381,381,,,,3519,3900,381,NW
PSCO,05/26/2025 5:00:00 AM,05/26/2025 11:00:00 AM,3666,3559,3976,417,417,,,,3559,3976,417,NW
PSCO,05/26/2025 6:00:00 AM,05/26/2025 12:00:00 PM,3720,3763,4127,364,364,,,,3763,4127,364,NW
PSCO,05/26/2025 7:00:00 AM,05/26/2025 1:00:00 PM,3598,3780,3884,104,104,,,,3780,3884,104,NW
PSCO,05/26/2025 8:00:00 AM,05/26/2025 2:00:00 PM,3624,3881,3697,-184,-184,,,,3881,3697,-184,NW
PSCO,05/26/2025 9:00:00 AM,05/26/2025 3:00:00 PM,3690,3904,3675,-229,-229,,,,3904,3675,-229,NW
PSCO,05/26/2025 10:00:00 AM,05/26/2025 4:00:00 PM,3794,3960,3787,-173,-173,,,,3960,3787,-173,NW
PSCO,05/26/2025 11:00:00 AM,05/26/2025 5:00:00 PM,3772,4125,4146,21,21,,,,4125,4146,21,NW
PSCO,05/26/2025 12:00:00 PM,05/26/2025 6:00:00 PM,3734,4195,4150,-45,-45,,,,4195,4150,-45,NW
PSCO,05/26/2025 1:00:00 PM,05/26/2025 7:00:00 PM,3721,4156,4202,46,46,,,,4156,4202,46,NW
PSCO,05/26/2025 2:00:00 PM,05/26/2025 8:00:00 PM,3709,4446,4530,84,84,,,,4446,4530,84,NW
PSCO,05/26/2025 3:00:00 PM,05/26/2025 9:00:00 PM,3762,4410,4344,-66,-66,,,,4410,4344,-66,NW
PSCO,05/26/2025 4:00:00 PM,05/26/2025 10:00:00 PM,3865,4394,4313,-81,-81,,,,4394,4313,-81,NW
PSCO,05/26/2025 5:00:00 PM,05/26/2025 11:00:00 PM,4022,4328,4458,130,130,,,,4328,4458,130,NW
PSCO,05/26/2025 6:00:00 PM,05/27/2025 12:00:00 AM,4255,4458,4450,-8,-8,,,,4458,4450,-8,NW
PSCO,05/26/2025 7:00:00 PM,05/27/2025 1:00:00 AM,4363,4421,4312,-109,-109,,,,4421,4312,-109,NW
PSCO,05/26/2025 8:00:00 PM,05/27/2025 2:00:00 AM,4492,4449,4364,-85,-85,,,,4449,4364,-85,NW
PSCO,05/26/2025 9:00:00 PM,05/27/2025 3:00:00 AM,4639,4622,4537,-85,-85,,,,4622,4537,-85,NW
PSCO,05/26/2025 10:00:00 PM,05/27/2025 4:00:00 AM,4560,4378,4292,-86,-86,,,,4378,4292,-86,NW
PSCO,05/26/2025 11:00:00 PM,05/27/2025 5:00:00 AM,4283,4106,4029,-77,-77,,,,4106,4029,-77,NW
PSCO,05/27/2025 12:00:00 AM,05/27/2025 6:00:00 AM,4023,3809,3903,94,94,,,,3809,3903,94,NW
PSCO,05/27/2025 1:00:00 AM,05/27/2025 7:00:00 AM,3810,3640,3764,124,124,,,,3640,3764,124,NW
PSCO,05/27/2025 2:00:00 AM,05/27/2025 8:00:00 AM,3666,3550,3657,107,107,,,,3550,3657,107,NW
PSCO,05/27/2025 3:00:00 AM,05/27/2025 9:00:00 AM,3592,3466,3554,88,88,,,,3466,3554,88,NW
PSCO,05/27/2025 4:00:00 AM,05/27/2025 10:00:00 AM,3591,3521,3669,148,148,,,,3521,3669,148,NW
PSCO,05/27/2025 5:00:00 AM,05/27/2025 11:00:00 AM,3679,3607,3705,98,98,,,,3607,3705,98,NW
PSCO,05/27/2025 6:00:00 AM,05/27/2025 12:00:00 PM,3856,3839,3887,48,48,,,,3839,3887,48,NW
PSCO,05/27/2025 7:00:00 AM,05/27/2025 1:00:00 PM,4057,4140,4254,114,114,,,,4140,4254,114,NW
PSCO,05/27/2025 8:00:00 AM,05/27/2025 2:00:00 PM,4152,4457,4610,153,153,,,,4457,4610,153,NW
PSCO,05/27/2025 9:00:00 AM,05/27/2025 3:00:00 PM,4140,4648,4907,259,259,,,,4648,4907,259,NW
PSCO,05/27/2025 10:00:00 AM,05/27/2025 4:00:00 PM,4047,4672,5175,503,503,,,,4672,5175,503,NW
PSCO,05/27/2025 11:00:00 AM,05/27/2025 5:00:00 PM,4144,4608,5011,403,403,,,,4608,5011,403,NW
PSCO,05/27/2025 12:00:00 PM,05/27/2025 6:00:00 PM,4199,4828,5265,437,437,,,,4828,5265,437,NW
PSCO,05/27/2025 1:00:00 PM,05/27/2025 7:00:00 PM,4251,4829,5246,417,417,,,,4829,5246,417,NW
PSCO,05/27/2025 2:00:00 PM,05/27/2025 8:00:00 PM,4389,4763,5363,600,600,,,,4763,5363,600,NW
PSCO,05/27/2025 3:00:00 PM,05/27/2025 9:00:00 PM,4469,5114,5982,868,868,,,,5114,5982,868,NW
PSCO,05/27/2025 4:00:00 PM,05/27/2025 10:00:00 PM,4609,5042,5466,424,424,,,,5042,5466,424,NW
PSCO,05/27/2025 5:00:00 PM,05/27/2025 11:00:00 PM,4654,4803,5156,353,353,,,,4803,5156,353,NW
PSCO,05/27/2025 6:00:00 PM,05/28/2025 12:00:00 AM,4765,5177,5929,752,752,,,,5177,5929,752,NW
PSCO,05/27/2025 7:00:00 PM,05/28/2025 1:00:00 AM,4859,5089,5781,692,692,,,,5089,5781,692,NW
PSCO,05/27/2025 8:00:00 PM,05/28/2025 2:00:00 AM,4976,4993,5351,358,358,,,,4993,5351,358,NW
PSCO,05/27/2025 9:00:00 PM,05/28/2025 3:00:00 AM,4991,5075,5379,304,304,,,,5075,5379,304,NW
PSCO,05/27/2025 10:00:00 PM,05/28/2025 4:00:00 AM,4832,4995,5397,402,402,,,,4995,5397,402,NW
PSCO,05/27/2025 11:00:00 PM,05/28/2025 5:00:00 AM,4521,4558,4976,418,418,,,,4558,4976,418,NW
PSCO,05/28/2025 12:00:00 AM,05/28/2025 6:00:00 AM,4202,4145,4681,536,536,,,,4145,4681,536,NW
PSCO,05/28/2025 1:00:00 AM,05/28/2025 7:00:00 AM,3990,3977,4307,330,330,,,,3977,4307,330,NW
PSCO,05/28/2025 2:00:00 AM,05/28/2025 8:00:00 AM,3854,3936,4293,357,357,,,,3936,4293,357,NW
PSCO,05/28/2025 3:00:00 AM,05/28/2025 9:00:00 AM,3734,3863,4265,402,402,,,,3863,4265,402,NW
PSCO,05/28/2025 4:00:00 AM,05/28/2025 10:00:00 AM,3695,3786,4254,468,468,,,,3786,4254,468,NW
PSCO,05/28/2025 5:00:00 AM,05/28/2025 11:00:00 AM,3747,3942,4636,694,694,,,,3942,4636,694,NW
PSCO,05/28/2025 6:00:00 AM,05/28/2025 12:00:00 PM,3914,4090,4623,533,533,,,,4090,4623,533,NW
PSCO,05/28/2025 7:00:00 AM,05/28/2025 1:00:00 PM,4136,4419,5005,586,586,,,,4419,5005,586,NW
PSCO,05/28/2025 8:00:00 AM,05/28/2025 2:00:00 PM,4207,4717,5455,738,738,,,,4717,5455,738,NW
PSCO,05/28/2025 9:00:00 AM,05/28/2025 3:00:00 PM,4163,4761,5406,645,645,,,,4761,5406,645,NW
PSCO,05/28/2025 10:00:00 AM,05/28/2025 4:00:00 PM,4016,4715,5272,557,557,,,,4715,5272,557,NW
PSCO,05/28/2025 11:00:00 AM,05/28/2025 5:00:00 PM,4000,4716,5296,580,580,,,,4716,5296,580,NW
PSCO,05/28/2025 12:00:00 PM,05/28/2025 6:00:00 PM,4132,4746,5421,675,675,,,,4746,5421,675,NW
PSCO,05/28/2025 1:00:00 PM,05/28/2025 7:00:00 PM,4197,4999,5692,693,693,,,,4999,5692,693,NW
PSCO,05/28/2025 2:00:00 PM,05/28/2025 8:00:00 PM,4334,5123,5924,801,801,,,,5123,5924,801,NW
PSCO,05/28/2025 3:00:00 PM,05/28/2025 9:00:00 PM,4351,5260,5948,688,688,,,,5260,5948,688,NW
PSCO,05/28/2025 4:00:00 PM,05/28/2025 10:00:00 PM,4302,5232,5742,510,510,,,,5232,5742,510,NW
PSCO,05/28/2025 5:00:00 PM,05/28/2025 11:00:00 PM,4391,5331,5958,627,627,,,,5331,5958,627,NW
PSCO,05/28/2025 6:00:00 PM,05/29/2025 12:00:00 AM,4535,5395,5974,579,579,,,,5395,5974,579,NW
PSCO,05/28/2025 7:00:00 PM,05/29/2025 1:00:00 AM,4656,5329,5792,463,463,,,,5329,5792,463,NW
PSCO,05/28/2025 8:00:00 PM,05/29/2025 2:00:00 AM,4762,5251,5664,413,413,,,,5251,5664,413,NW
PSCO,05/28/2025 9:00:00 PM,05/29/2025 3:00:00 AM,4783,5271,5613,342,342,,,,5271,5613,342,NW
PSCO,05/28/2025 10:00:00 PM,05/29/2025 4:00:00 AM,4646,5036,5408,372,372,,,,5036,5408,372,NW
PSCO,05/28/2025 11:00:00 PM,05/29/2025 5:00:00 AM,4365,4688,5073,385,385,,,,4688,5073,385,NW
PSCO,05/29/2025 12:00:00 AM,05/29/2025 6:00:00 AM,4096,4220,4439,219,219,,,,4220,4439,219,NW
PSCO,05/29/2025 1:00:00 AM,05/29/2025 7:00:00 AM,3824,3922,4004,82,82,,,,3922,4004,82,NW
PSCO,05/29/2025 2:00:00 AM,05/29/2025 8:00:00 AM,3694,3734,3785,51,51,,,,3734,3785,51,NW
PSCO,05/29/2025 3:00:00 AM,05/29/2025 9:00:00 AM,3668,3635,3737,102,102,,,,3635,3737,102,NW
PSCO,05/29/2025 4:00:00 AM,05/29/2025 10:00:00 AM,3656,3642,3718,76,76,,,,3642,3718,76,NW
PSCO,05/29/2025 5:00:00 AM,05/29/2025 11:00:00 AM,3729,3719,3684,-35,-35,,,,3719,3684,-35,NW
PSCO,05/29/2025 6:00:00 AM,05/29/2025 12:00:00 PM,3881,3859,3699,-160,-160,,,,3859,3699,-160,NW
PSCO,05/29/2025 7:00:00 AM,05/29/2025 1:00:00 PM,4072,4079,3921,-158,-158,,,,4079,3921,-158,NW
PSCO,05/29/2025 8:00:00 AM,05/29/2025 2:00:00 PM,4162,4296,4048,-248,-248,,,,4296,4048,-248,NW
PSCO,05/29/2025 9:00:00 AM,05/29/2025 3:00:00 PM,4160,4391,4072,-319,-319,,,,4391,4072,-319,NW
PSCO,05/29/2025 10:00:00 AM,05/29/2025 4:00:00 PM,4093,4402,4334,-68,-68,,,,4402,4334,-68,NW
PSCO,05/29/2025 11:00:00 AM,05/29/2025 5:00:00 PM,4074,4561,4753,192,192,,,,4561,4753,192,NW
PSCO,05/29/2025 12:00:00 PM,05/29/2025 6:00:00 PM,4109,4635,4774,139,139,,,,4635,4774,139,NW
PSCO,05/29/2025 1:00:00 PM,05/29/2025 7:00:00 PM,4112,4486,4687,201,201,,,,4486,4687,201,NW
PSCO,05/29/2025 2:00:00 PM,05/29/2025 8:00:00 PM,4195,4510,4663,153,153,,,,4510,4663,153,NW
PSCO,05/29/2025 3:00:00 PM,05/29/2025 9:00:00 PM,4252,4336,4361,25,25,,,,4336,4361,25,NW
PSCO,05/29/2025 4:00:00 PM,05/29/2025 10:00:00 PM,4325,4347,4298,-49,-49,,,,4347,4298,-49,NW
PSCO,05/29/2025 5:00:00 PM,05/29/2025 11:00:00 PM,4479,4696,4471,-225,-225,,,,4696,4471,-225,NW
PSCO,05/29/2025 6:00:00 PM,05/30/2025 12:00:00 AM,4547,4739,4414,-325,-325,,,,4739,4414,-325,NW
PSCO,05/29/2025 7:00:00 PM,05/30/2025 1:00:00 AM,4709,4704,4363,-341,-341,,,,4704,4363,-341,NW
PSCO,05/29/2025 8:00:00 PM,05/30/2025 2:00:00 AM,4769,4969,4847,-122,-122,,,,4969,4847,-122,NW
PSCO,05/29/2025 9:00:00 PM,05/30/2025 3:00:00 AM,4752,5015,4940,-75,-75,,,,5015,4940,-75,NW
PSCO,05/29/2025 10:00:00 PM,05/30/2025 4:00:00 AM,4699,4817,4922,105,105,,,,4817,4922,105,NW
PSCO,05/29/2025 11:00:00 PM,05/30/2025 5:00:00 AM,4397,4582,4808,226,226,,,,4582,4808,226,NW
PSCO,05/30/2025 12:00:00 AM,05/30/2025 6:00:00 AM,4104,4470,4560,90,90,,,,4470,4560,90,NW
PSCO,05/30/2025 1:00:00 AM,05/30/2025 7:00:00 AM,3909,4351,4425,74,74,,,,4351,4425,74,NW
PSCO,05/30/2025 2:00:00 AM,05/30/2025 8:00:00 AM,3784,4245,4496,251,251,,,,4245,4496,251,NW
PSCO,05/30/2025 3:00:00 AM,05/30/2025 9:00:00 AM,3691,4102,4351,249,249,,,,4102,4351,249,NW
PSCO,05/30/2025 4:00:00 AM,05/30/2025 10:00:00 AM,3681,4029,4290,261,261,,,,4029,4290,261,NW
PSCO,05/30/2025 5:00:00 AM,05/30/2025 11:00:00 AM,3740,4054,4456,402,402,,,,4054,4456,402,NW
PSCO,05/30/2025 6:00:00 AM,05/30/2025 12:00:00 PM,3876,4102,4501,399,399,,,,4102,4501,399,NW
PSCO,05/30/2025 7:00:00 AM,05/30/2025 1:00:00 PM,3998,4266,4445,179,179,,,,4266,4445,179,NW
PSCO,05/30/2025 8:00:00 AM,05/30/2025 2:00:00 PM,4055,4320,4532,212,212,,,,4320,4532,212,NW
PSCO,05/30/2025 9:00:00 AM,05/30/2025 3:00:00 PM,4050,4469,4783,314,314,,,,4469,4783,314,NW
PSCO,05/30/2025 10:00:00 AM,05/30/2025 4:00:00 PM,4000,4713,5113,400,400,,,,4713,5113,400,NW
PSCO,05/30/2025 11:00:00 AM,05/30/2025 5:00:00 PM,4040,4752,4876,124,124,,,,4752,4876,124,NW
PSCO,05/30/2025 12:00:00 PM,05/30/2025 6:00:00 PM,4218,4758,4999,241,241,,,,4758,4999,241,NW
PSCO,05/30/2025 1:00:00 PM,05/30/2025 7:00:00 PM,4299,4864,5291,427,427,,,,4864,5291,427,NW
PSCO,05/30/2025 2:00:00 PM,05/30/2025 8:00:00 PM,4473,4950,5567,617,617,,,,4950,5567,617,NW
PSCO,05/30/2025 3:00:00 PM,05/30/2025 9:00:00 PM,4658,5229,5856,627,627,,,,5229,5856,627,NW
PSCO,05/30/2025 4:00:00 PM,05/30/2025 10:00:00 PM,4834,5714,6307,593,593,,,,5714,6307,593,NW
PSCO,05/30/2025 5:00:00 PM,05/30/2025 11:00:00 PM,5029,5738,6277,539,539,,,,5738,6277,539,NW
PSCO,05/30/2025 6:00:00 PM,05/31/2025 12:00:00 AM,5129,5568,6191,623,623,,,,5568,6191,623,NW
PSCO,05/30/2025 7:00:00 PM,05/31/2025 1:00:00 AM,5116,5384,5657,273,273,,,,5384,5657,273,NW
PSCO,05/30/2025 8:00:00 PM,05/31/2025 2:00:00 AM,5105,5102,5307,205,205,,,,5102,5307,205,NW
PSCO,05/30/2025 9:00:00 PM,05/31/2025 3:00:00 AM,5067,5080,5376,296,296,,,,5080,5376,296,NW
PSCO,05/30/2025 10:00:00 PM,05/31/2025 4:00:00 AM,4992,5187,5474,287,287,,,,5187,5474,287,NW
PSCO,05/30/2025 11:00:00 PM,05/31/2025 5:00:00 AM,4712,4943,5244,301,301,,,,4943,5244,301,NW
PSCO,05/31/2025 12:00:00 AM,05/31/2025 6:00:00 AM,4352,4583,5158,575,575,,,,4583,5158,575,NW
PSCO,05/31/2025 1:00:00 AM,05/31/2025 7:00:00 AM,4104,4358,4710,352,352,,,,4358,4710,352,NW
PSCO,05/31/2025 2:00:00 AM,05/31/2025 8:00:00 AM,3943,4136,4371,235,235,,,,4136,4371,235,NW
PSCO,05/31/2025 3:00:00 AM,05/31/2025 9:00:00 AM,3814,3848,4145,297,297,,,,3848,4145,297,NW
PSCO,05/31/2025 4:00:00 AM,05/31/2025 10:00:00 AM,3720,3731,4012,281,281,,,,3731,4012,281,NW
PSCO,05/31/2025 5:00:00 AM,05/31/2025 11:00:00 AM,3712,3751,3964,213,213,,,,3751,3964,213,NW
PSCO,05/31/2025 6:00:00 AM,05/31/2025 12:00:00 PM,3738,3815,3950,135,135,,,,3815,3950,135,NW
PSCO,05/31/2025 7:00:00 AM,05/31/2025 1:00:00 PM,3676,3976,4129,153,153,,,,3976,4129,153,NW
PSCO,05/31/2025 8:00:00 AM,05/31/2025 2:00:00 PM,3726,4093,4166,73,73,,,,4093,4166,73,NW
PSCO,05/31/2025 9:00:00 AM,05/31/2025 3:00:00 PM,3725,4110,4164,54,54,,,,4110,4164,54,NW
PSCO,05/31/2025 10:00:00 AM,05/31/2025 4:00:00 PM,3631,4133,4172,39,39,,,,4133,4172,39,NW
PSCO,05/31/2025 11:00:00 AM,05/31/2025 5:00:00 PM,3653,4146,4102,-44,-44,,,,4146,4102,-44,NW
PSCO,05/31/2025 12:00:00 PM,05/31/2025 6:00:00 PM,3789,4412,4427,15,15,,,,4412,4427,15,NW
PSCO,05/31/2025 1:00:00 PM,05/31/2025 7:00:00 PM,3946,4544,4619,75,75,,,,4544,4619,75,NW
PSCO,05/31/2025 2:00:00 PM,05/31/2025 8:00:00 PM,4059,4661,4816,155,155,,,,4661,4816,155,NW
PSCO,05/31/2025 3:00:00 PM,05/31/2025 9:00:00 PM,4245,4899,4995,96,96,,,,4899,4995,96,NW
PSCO,05/31/2025 4:00:00 PM,05/31/2025 10:00:00 PM,4513,5257,5439,182,182,,,,5257,5439,182,NW
PSCO,05/31/2025 5:00:00 PM,05/31/2025 11:00:00 PM,4723,5398,5650,252,252,,,,5398,5650,252,NW
PSCO,05/31/2025 6:00:00 PM,06/01/2025 12:00:00 AM,4921,5479,5712,233,233,,,,5479,5712,233,NW
PSCO,05/31/2025 7:00:00 PM,06/01/2025 1:00:00 AM,5160,5446,5453,7,7,,,,5446,5453,7,NW
PSCO,05/31/2025 8:00:00 PM,06/01/2025 2:00:00 AM,5111,5472,5491,19,19,,,,5472,5491,19,NW
PSCO,05/31/2025 9:00:00 PM,06/01/2025 3:00:00 AM,5095,5427,5451,24,24,,,,5427,5451,24,NW
PSCO,05/31/2025 10:00:00 PM,06/01/2025 4:00:00 AM,4968,5175,5204,29,29,,,,5175,5204,29,NW
PSCO,05/31/2025 11:00:00 PM,06/01/2025 5:00:00 AM,4657,4872,4845,-27,-27,,,,4872,4845,-27,NW
PSCO,06/01/2025 12:00:00 AM,06/01/2025 6:00:00 AM,4311,4492,4604,112,112,,,,4492,4604,112,NW
PSCO,06/01/2025 1:00:00 AM,06/01/2025 7:00:00 AM,4087,4184,4477,293,293,,,,4184,4477,293,NW
PSCO,06/01/2025 2:00:00 AM,06/01/2025 8:00:00 AM,3880,4008,4069,61,61,,,,4008,4069,61,NW
PSCO,06/01/2025 3:00:00 AM,06/01/2025 9:00:00 AM,3773,3838,3958,120,120,,,,3838,3958,120,NW
